,ferc,eia
198,National Grid Generation LLC,National Grid Generation LLC
199,"Nevada Power Company, d/b/a NV Energy",Nevada Power Company DBA NV Energy
200,Nevada Sun-Peak Limited Partnership,Nevada Sun-Peak Ltd Partners
201,New England Electric Transmission Corporation,A & N Electric Coop
202,"New England Hydro-Trans. Elec. Co., Inc.",New England Hydro Trans Elec
203,New England Hydro-Transmission Corporation,Allegheny Hydro No 8 LP
204,New England Power Company,New England Power Co
205,"New Hampshire Electric Cooperative, Inc.",AES Shady Point Inc
206,"New Hampshire Transmission, LLC",AES Cypress LLC
207,New York Independent System Operator,Lincoln Electric System
208,New York State Electric & Gas Corporation,New York State Electric  & Gas
209,"Newcorp Resources Electric Cooperative, Inc.",AES Shady Point Inc
210,Newport Electric Corporation,Canal Electric Co
211,Niagara Mohawk Power Corporation,Niagara Mohawk Power Corp
212,North Atlantic Energy Corporation,North Atlantic Energy Corp
213,"North Central Missouri Electric Cooperative, Inc.",AES Shady Point Inc
214,"North Central Power Co., Inc.",North Central Power Co Inc
215,North West Rural Electric Cooperative,Rural Electric Co
216,Northeast Generation Company,Co-Generation Co
217,Northern Indiana Public Service Company,AHA Macav Power Service
218,"Northern Maine Independent System Administrator, Inc",AES Shady Point Inc
219,Northern States Power Company (Minnesota),Northern States Power Co
220,Northern States Power Company (Wisconsin),Northern States Power Co - Wisconsin
221,NorthWestern Corporation,PPL Corporation
222,NorthWestern Corporation,PPL Corporation
223,Northwestern Wisconsin Electric Company,Northwestern Wisconsin Elec Co
224,Ocean State Power,Ocean State Power Company
225,"Ocean State Power, II",Ocean State Power II
226,Oconto Electric Cooperative,Canal Electric Co
227,Ohio Edison Company,IPA Bellingham Energy Company
228,Ohio Power Company,Hinson Power Company
229,Ohio Valley Electric Corporation,Ohio Valley Electric Corp
230,Oklahoma Gas and Electric Company,Oklahoma Gas & Electric Co
231,Old Dominion Electric Cooperative,Old Dominion Electric Coop
232,"Omya, Inc.",Omya Inc
233,Oncor Electric Delivery Company LLC,"Oncor Electric Delivery Company, LLC"
234,"Orange and Rockland Utilities, Inc",AES Shady Point Inc
235,"Oregon Trail Electric Consumers Coop, Inc.",AES Shady Point Inc
236,Otter Tail Power Company,Otter Tail Power Co
237,PACIFIC GAS AND ELECTRIC COMPANY,Pacific Gas & Electric Co.
238,Pacific Northwest Generating Cooperative,AES Pacific Inc
239,PacifiCorp,PacifiCorp
240,"Path Allegheny Transmission Company, LLC",AES Cypress LLC
241,"Path West Virginia Transmission Company, L.L.C.",IPA Bellingham Energy Company
242,PECO Energy Company,Air Products Energy Enterprise
243,Pennsylvania Electric Company,Pennsylvania Electric Co
244,Pennsylvania Power Company,Pennsylvania Power Co
245,Penoyer Valley Electric Company,Penoyer Valley Electric Coop
